subject,Joshua Spiesman
arm,right
label,0
hz,100.17173603285194
time,5.470605

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
164886105,0.659912109375,0.1912841796875,-0.7064208984375,-0.16998291015625,7165,3787,-635,-26,-15,4
164896086,0.65936279296875,0.188720703125,-0.70709228515625,-0.1722412109375,7212,3797,-658,-26,-14,1
164906071,0.6588134765625,0.18634033203125,-0.7076416015625,-0.1746826171875,7244,3812,-653,-26,-13,-2
164916051,0.6583251953125,0.1842041015625,-0.7080078125,-0.17718505859375,7276,3821,-637,-26,-12,-3
164926036,0.65802001953125,0.18206787109375,-0.708251953125,-0.1796875,7306,3832,-614,-25,-10,-3
164936019,0.65777587890625,0.18011474609375,-0.70831298828125,-0.18218994140625,7325,3855,-597,-25,-8,-4
164946000,0.65765380859375,0.1781005859375,-0.708251953125,-0.18475341796875,7337,3882,-573,-26,-8,-4
164955989,0.65765380859375,0.1761474609375,-0.7081298828125,-0.187255859375,7357,3902,-560,-25,-6,-4
164965965,0.65771484375,0.17437744140625,-0.70782470703125,-0.1898193359375,7366,3924,-554,-26,-5,-6
164975947,0.65777587890625,0.1727294921875,-0.7073974609375,-0.1925048828125,7359,3943,-555,-26,-4,-7
164985931,0.657958984375,0.171142578125,-0.7069091796875,-0.19525146484375,7331,3963,-552,-26,-3,-7
164995914,0.65814208984375,0.1695556640625,-0.70635986328125,-0.19805908203125,7301,3966,-537,-26,-3,-8
165005894,0.65838623046875,0.16796875,-0.7056884765625,-0.2008056640625,7258,3979,-514,-26,-2,-7
165015880,0.65863037109375,0.16632080078125,-0.705078125,-0.20355224609375,7205,3980,-476,-26,-2,-6
165025861,0.658935546875,0.16461181640625,-0.70440673828125,-0.2061767578125,7157,3973,-450,-26,-2,-6
165035842,0.6591796875,0.16290283203125,-0.70379638671875,-0.20880126953125,7127,3981,-427,-26,-2,-5
165045826,0.659423828125,0.16119384765625,-0.70318603515625,-0.21142578125,7087,3991,-411,-26,-2,-6
165055809,0.65966796875,0.15960693359375,-0.70257568359375,-0.21405029296875,7070,4005,-405,-26,-2,-6
165065795,0.6597900390625,0.15802001953125,-0.70196533203125,-0.2166748046875,7056,4025,-393,-25,-3,-7
165075784,0.65985107421875,0.156494140625,-0.701416015625,-0.21929931640625,7027,4032,-377,-25,-3,-7
165085765,0.65997314453125,0.1549072265625,-0.70086669921875,-0.221923828125,7008,4060,-363,-25,-3,-6
165095749,0.65997314453125,0.15325927734375,-0.700439453125,-0.22442626953125,6973,4078,-340,-25,-4,-5
165105732,0.659912109375,0.1514892578125,-0.7000732421875,-0.226806640625,6931,4084,-326,-24,-5,-4
165115710,0.65985107421875,0.14971923828125,-0.69976806640625,-0.2291259765625,6885,4079,-323,-24,-6,-3
165125692,0.65966796875,0.14794921875,-0.6995849609375,-0.23138427734375,6856,4071,-327,-23,-6,-4
165135675,0.6593017578125,0.14617919921875,-0.699462890625,-0.2337646484375,6814,4063,-319,-23,-8,-4
165145657,0.6588134765625,0.14459228515625,-0.699462890625,-0.2362060546875,6778,4055,-320,-23,-9,-6
165155641,0.658203125,0.14312744140625,-0.69952392578125,-0.23870849609375,6757,4052,-314,-22,-10,-7
165165623,0.65740966796875,0.14178466796875,-0.69964599609375,-0.24127197265625,6759,4051,-306,-21,-11,-9
165175606,0.65655517578125,0.1405029296875,-0.6998291015625,-0.243896484375,6775,4062,-278,-21,-12,-9
165185588,0.65557861328125,0.13916015625,-0.7000732421875,-0.24639892578125,6805,4087,-249,-20,-13,-8
165195572,0.65460205078125,0.1376953125,-0.70050048828125,-0.24871826171875,6838,4097,-208,-19,-14,-6
165205555,0.65362548828125,0.13604736328125,-0.70098876953125,-0.25067138671875,6877,4094,-173,-18,-15,-3
165215545,0.6527099609375,0.13409423828125,-0.70166015625,-0.25238037109375,6909,4076,-145,-18,-16,0
165225520,0.65179443359375,0.1319580078125,-0.70245361328125,-0.25372314453125,6940,4035,-122,-17,-16,3
165235505,0.65093994140625,0.129638671875,-0.7032470703125,-0.2547607421875,6970,3978,-102,-16,-16,6
165245487,0.650146484375,0.127197265625,-0.70416259765625,-0.255615234375,7001,3948,-63,-15,-17,7
165255470,0.64935302734375,0.124755859375,-0.705078125,-0.2562255859375,7027,3911,-36,-14,-17,8
165265454,0.64849853515625,0.12237548828125,-0.70611572265625,-0.25677490234375,7062,3881,-3,-13,-17,8
