subject,Peter Cope
arm,left
label,1
hz,100.17539764795423
time,4.961298

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
85686653,0.77618408203125,0.12548828125,0.60955810546875,0.10064697265625,-7327,2522,1790,0,-23,7
85696641,0.7777099609375,0.12628173828125,0.60736083984375,0.10089111328125,-7269,2534,1816,0,-21,6
85706621,0.77911376953125,0.12701416015625,0.60540771484375,0.10107421875,-7223,2547,1845,1,-20,4
85716601,0.7803955078125,0.127685546875,0.60357666015625,0.10113525390625,-7170,2563,1900,1,-18,3
85726584,0.7816162109375,0.1282958984375,0.6019287109375,0.10107421875,-7119,2569,1961,1,-16,2
85736567,0.78265380859375,0.12884521484375,0.6004638671875,0.10101318359375,-7064,2579,1997,1,-14,2
85746549,0.7835693359375,0.1292724609375,0.59918212890625,0.10089111328125,-7018,2580,2044,2,-12,1
85756533,0.7843017578125,0.1297607421875,0.59814453125,0.1007080078125,-6996,2600,2082,2,-10,1
85766514,0.784912109375,0.13018798828125,0.59722900390625,0.1005859375,-6990,2629,2123,2,-8,0
85776496,0.785400390625,0.130615234375,0.59661865234375,0.10040283203125,-6984,2658,2132,2,-6,0
85786483,0.78570556640625,0.1309814453125,0.59613037109375,0.1002197265625,-6986,2665,2143,2,-5,0
85796465,0.785888671875,0.13128662109375,0.5958251953125,0.10003662109375,-6978,2687,2136,2,-3,-1
85806436,0.78594970703125,0.13153076171875,0.595703125,0.099853515625,-6982,2710,2135,2,-1,-1
85816433,0.78594970703125,0.13177490234375,0.59576416015625,0.09967041015625,-6991,2721,2136,2,1,-2
85826413,0.7857666015625,0.13189697265625,0.595947265625,0.0994873046875,-7014,2735,2134,2,2,-2
85836396,0.7855224609375,0.1319580078125,0.5963134765625,0.099365234375,-7047,2765,2129,1,4,-2
85846370,0.78515625,0.1319580078125,0.5968017578125,0.09918212890625,-7073,2792,2113,1,5,-3
85856352,0.78466796875,0.13177490234375,0.59747314453125,0.0989990234375,-7114,2810,2106,0,6,-4
85866332,0.7841796875,0.13153076171875,0.5982666015625,0.09881591796875,-7149,2839,2112,0,8,-5
85876316,0.7835693359375,0.1312255859375,0.59912109375,0.09869384765625,-7199,2874,2089,-1,8,-5
85886298,0.782958984375,0.13079833984375,0.60003662109375,0.09857177734375,-7260,2889,2082,-1,9,-5
85896280,0.78228759765625,0.13031005859375,0.60101318359375,0.0985107421875,-7322,2892,2064,-2,10,-5
85906261,0.78155517578125,0.1297607421875,0.60205078125,0.0985107421875,-7392,2899,2055,-3,11,-4
85916243,0.78082275390625,0.12908935546875,0.6031494140625,0.0986328125,-7445,2905,2031,-4,11,-4
85926234,0.780029296875,0.12835693359375,0.60430908203125,0.0987548828125,-7476,2899,1998,-4,11,-5
85936215,0.779296875,0.12750244140625,0.60546875,0.09881591796875,-7479,2891,1998,-5,12,-7
85946194,0.77850341796875,0.12640380859375,0.606689453125,0.0987548828125,-7503,2872,1978,-6,12,-8
85956189,0.7777099609375,0.1251220703125,0.60797119140625,0.0986328125,-7528,2839,1977,-6,13,-9
85966174,0.7769775390625,0.1236572265625,0.6092529296875,0.0985107421875,-7533,2808,1981,-7,13,-10
85976153,0.77618408203125,0.12213134765625,0.610595703125,0.098388671875,-7534,2762,1972,-8,14,-10
85986121,0.77532958984375,0.12054443359375,0.61199951171875,0.09832763671875,-7531,2725,1956,-8,14,-10
85996106,0.77447509765625,0.118896484375,0.61346435546875,0.0982666015625,-7558,2690,1924,-9,14,-10
86006087,0.7735595703125,0.1171875,0.61492919921875,0.09832763671875,-7578,2668,1892,-9,15,-10
86016070,0.77264404296875,0.1153564453125,0.61639404296875,0.09832763671875,-7587,2637,1866,-10,15,-11
86026051,0.771728515625,0.11346435546875,0.617919921875,0.09832763671875,-7582,2616,1841,-10,16,-12
86036034,0.77081298828125,0.11138916015625,0.61944580078125,0.09820556640625,-7580,2588,1807,-11,16,-13
86046018,0.7698974609375,0.109130859375,0.62103271484375,0.09808349609375,-7598,2546,1777,-12,16,-14
86055998,0.76898193359375,0.10687255859375,0.62255859375,0.09783935546875,-7628,2503,1756,-12,16,-14
86065988,0.76812744140625,0.10455322265625,0.6240234375,0.0977783203125,-7677,2440,1755,-13,15,-13
86075964,0.7672119140625,0.10223388671875,0.62548828125,0.0977783203125,-7727,2378,1744,-13,15,-12
86085947,0.76629638671875,0.10015869140625,0.626953125,0.0980224609375,-7788,2321,1726,-13,16,-9
86095929,0.765380859375,0.0980224609375,0.62835693359375,0.098388671875,-7846,2262,1713,-13,15,-8
86105913,0.764404296875,0.095947265625,0.6297607421875,0.098876953125,-7904,2206,1683,-14,15,-8
86115895,0.76348876953125,0.09381103515625,0.631103515625,0.09930419921875,-7977,2159,1663,-14,14,-8
86125878,0.7626953125,0.091552734375,0.63238525390625,0.099609375,-8060,2106,1666,-14,14,-9
86135858,0.76190185546875,0.089111328125,0.63360595703125,0.099853515625,-8134,2045,1676,-15,13,-11
86145840,0.76129150390625,0.08648681640625,0.634765625,0.09991455078125,-8211,1996,1680,-15,12,-13
86155824,0.76068115234375,0.083740234375,0.63580322265625,0.09979248046875,-8324,1948,1673,-16,11,-15
86165805,0.76025390625,0.08074951171875,0.63677978515625,0.0994873046875,-8462,1896,1673,-16,10,-16
86175789,0.7598876953125,0.07757568359375,0.6376953125,0.0989990234375,-8589,1819,1672,-17,9,-19
86185770,0.7596435546875,0.07403564453125,0.6385498046875,0.0982666015625,-8689,1722,1684,-17,8,-22
86195760,0.759521484375,0.0701904296875,0.63922119140625,0.09716796875,-8726,1599,1702,-17,7,-26
86205743,0.75958251953125,0.06591796875,0.63983154296875,0.0955810546875,-8715,1461,1728,-18,6,-31
86215721,0.7598876953125,0.06109619140625,0.64031982421875,0.09344482421875,-8686,1318,1767,-18,4,-37
86225703,0.76031494140625,0.0557861328125,0.64068603515625,0.0906982421875,-8632,1163,1824,-18,3,-44
