subject,Reese Hammons
arm,Right
label,0
hz,100.17254090459485
time,5.161095

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
966097941,-0.53533935546875,0.63714599609375,-0.3436279296875,-0.4351806640625,-7722,-3134,-354,1,-4,1
966107925,-0.53558349609375,0.63677978515625,-0.34356689453125,-0.4354248046875,-7711,-3094,-346,1,-4,0
966117909,-0.53582763671875,0.636474609375,-0.34344482421875,-0.43572998046875,-7678,-3057,-346,1,-4,-1
966127887,-0.53607177734375,0.63616943359375,-0.34326171875,-0.43603515625,-7640,-3031,-324,0,-4,-1
966137873,-0.53631591796875,0.6358642578125,-0.343017578125,-0.43634033203125,-7616,-3007,-323,0,-5,-1
966147858,-0.53656005859375,0.63568115234375,-0.3426513671875,-0.43658447265625,-7590,-2992,-331,0,-5,-2
966157841,-0.53680419921875,0.63555908203125,-0.34228515625,-0.4368896484375,-7568,-2990,-335,-1,-5,-3
966167821,-0.5369873046875,0.63543701171875,-0.341796875,-0.4371337890625,-7560,-3009,-347,-2,-5,-3
966177800,-0.537109375,0.63543701171875,-0.34124755859375,-0.4373779296875,-7548,-3034,-362,-2,-5,-3
966187782,-0.5372314453125,0.63543701171875,-0.34075927734375,-0.43768310546875,-7533,-3054,-359,-2,-5,-2
966197766,-0.5372314453125,0.6353759765625,-0.34033203125,-0.43804931640625,-7507,-3075,-368,-3,-4,-1
966207753,-0.537109375,0.6353759765625,-0.3399658203125,-0.43841552734375,-7476,-3095,-373,-3,-4,0
966217733,-0.53692626953125,0.6353759765625,-0.3397216796875,-0.43890380859375,-7453,-3111,-373,-4,-4,1
966227717,-0.53668212890625,0.63531494140625,-0.3394775390625,-0.439453125,-7433,-3123,-377,-4,-4,2
966237697,-0.53643798828125,0.6353759765625,-0.3392333984375,-0.43988037109375,-7412,-3144,-367,-4,-3,1
966247680,-0.5362548828125,0.63543701171875,-0.3389892578125,-0.44024658203125,-7413,-3162,-361,-4,-3,1
966257660,-0.53607177734375,0.635498046875,-0.33868408203125,-0.44061279296875,-7430,-3181,-350,-4,-3,0
966267652,-0.535888671875,0.6356201171875,-0.33837890625,-0.44085693359375,-7438,-3192,-363,-3,-2,0
966277636,-0.53570556640625,0.63568115234375,-0.338134765625,-0.44110107421875,-7465,-3203,-360,-3,-2,0
966287613,-0.53558349609375,0.6357421875,-0.337890625,-0.44140625,-7481,-3210,-350,-3,-3,0
966297607,-0.53546142578125,0.63580322265625,-0.337646484375,-0.441650390625,-7498,-3213,-354,-3,-2,0
966307590,-0.535400390625,0.6358642578125,-0.33740234375,-0.44183349609375,-7492,-3202,-346,-3,-3,0
966317569,-0.53533935546875,0.63592529296875,-0.337158203125,-0.44207763671875,-7487,-3193,-333,-2,-3,-1
966327542,-0.53533935546875,0.63592529296875,-0.33685302734375,-0.4422607421875,-7477,-3187,-323,-2,-2,-1
966337525,-0.53533935546875,0.635986328125,-0.33648681640625,-0.4423828125,-7477,-3192,-309,-2,-3,-2
966347507,-0.53546142578125,0.6361083984375,-0.33612060546875,-0.44244384765625,-7473,-3202,-303,-2,-2,-3
966357490,-0.53558349609375,0.63623046875,-0.335693359375,-0.44244384765625,-7478,-3217,-307,-2,-2,-3
966367475,-0.53570556640625,0.6363525390625,-0.3353271484375,-0.4423828125,-7485,-3226,-310,-1,-2,-3
966377455,-0.53582763671875,0.63641357421875,-0.3349609375,-0.4423828125,-7496,-3236,-309,-1,-2,-3
966387439,-0.53594970703125,0.636474609375,-0.334716796875,-0.4423828125,-7500,-3237,-310,-1,-2,-2
966397422,-0.5360107421875,0.63653564453125,-0.33447265625,-0.44232177734375,-7498,-3233,-310,-1,-1,-2
966407409,-0.53607177734375,0.6365966796875,-0.33428955078125,-0.44232177734375,-7493,-3228,-309,-1,-1,-1
966417386,-0.5361328125,0.6365966796875,-0.3341064453125,-0.4423828125,-7501,-3232,-303,-1,-1,-1
966427369,-0.53619384765625,0.63665771484375,-0.333984375,-0.4423828125,-7491,-3217,-295,-1,-1,-1
966437358,-0.5361328125,0.63665771484375,-0.33392333984375,-0.44244384765625,-7489,-3198,-290,-1,-1,0
966447338,-0.53607177734375,0.63665771484375,-0.33392333984375,-0.44256591796875,-7500,-3171,-285,-1,-1,0
966457319,-0.5360107421875,0.6365966796875,-0.33392333984375,-0.44268798828125,-7509,-3166,-284,-1,-1,1
966467302,-0.535888671875,0.6365966796875,-0.333984375,-0.44281005859375,-7514,-3167,-273,-1,-1,1
966477284,-0.5357666015625,0.6365966796875,-0.333984375,-0.44293212890625,-7521,-3171,-272,-1,-1,1
966487269,-0.53558349609375,0.6365966796875,-0.333984375,-0.44305419921875,-7530,-3176,-283,-1,-1,1
966497250,-0.53546142578125,0.63665771484375,-0.33404541015625,-0.4432373046875,-7542,-3172,-275,-2,-1,1
966507233,-0.53533935546875,0.63665771484375,-0.333984375,-0.44342041015625,-7544,-3165,-279,-2,-1,1
966517215,-0.53515625,0.63665771484375,-0.333984375,-0.44354248046875,-7534,-3151,-268,-2,-1,0
966527196,-0.5350341796875,0.63665771484375,-0.33392333984375,-0.44378662109375,-7536,-3139,-269,-2,-1,0
966537186,-0.534912109375,0.63671875,-0.33380126953125,-0.44390869140625,-7542,-3131,-267,-2,-1,0
966547170,-0.53485107421875,0.63677978515625,-0.3336181640625,-0.44403076171875,-7542,-3132,-262,-2,-1,-1
966557145,-0.534912109375,0.63690185546875,-0.3333740234375,-0.44403076171875,-7551,-3136,-261,-2,-2,-3
